protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level
P42900,1.02,1.26,0.73,"[20326.0, 25131.8, 14502.4]",59960.200000000004
P53860,0.67,1.14,1.19,"[9601.3, 16271.9, 16979.9]",42853.1
P38088,0.96,1.03,1.01,"[95229.1, 101768.4, 99779.8]",296777.3
P00560,0.92,1.02,1.06,"[801120.1, 891685.7, 924578.6]",2617384.4
P14126,0.9,1.04,1.06,"[186108.0, 216055.5, 218309.3]",620472.8
Q08096,0.88,1.02,1.1,"[13603.5, 15660.2, 16869.8]",46133.5
"P0CX35, P0CX36",0.82,1.06,1.12,"[54252.3, 69943.3, 74304.8]",198500.40000000002
P25338,1.03,0.86,1.11,"[7351.7, 6113.7, 7899.9]",21365.3
P29453,0.95,1.04,1.0,"[114622.6, 125238.1, 120444.2]",360304.9
P25353,1.1,1.03,0.87,"[31742.8, 29561.0, 24920.1]",86223.9
P53107,0.9,1.02,1.08,"[109349.2, 124265.8, 131420.5]",365035.5
P38708,0.92,1.1,0.98,"[91152.5, 109830.5, 97368.2]",298351.2
P48836,0.97,1.06,0.97,"[129231.3, 140822.8, 128827.0]",398881.1
P06780,1.08,1.0,0.92,"[25008.7, 23221.7, 21390.6]",69621.0
P00549,0.94,1.05,1.01,"[360918.5, 405727.4, 387250.3]",1153896.2
"P05737, Q12213",0.92,0.92,1.15,"[223864.3, 223691.2, 278774.0]",726329.5
Q03213,0.78,1.03,1.19,"[6206.6, 8237.1, 9489.8]",23933.5
P07262,0.79,0.91,1.3,"[23644.8, 27015.3, 38832.2]",89492.29999999999
P32563,1.15,0.78,1.07,"[3329.0, 2270.7, 3088.7]",8688.4
Q08750,1.07,0.98,0.95,"[13821.7, 12729.1, 12233.0]",38783.8
Q12424,1.82,0.65,0.53,"[175067.9, 62934.6, 50947.4]",288949.9
P15019,0.92,0.98,1.1,"[216011.9, 229469.7, 257232.8]",702714.3999999999
P07884,0.85,1.02,1.13,"[11025.2, 13271.5, 14739.6]",39036.3
P51979,0.88,1.01,1.12,"[21835.7, 25090.9, 27830.2]",74756.8
